file_name,speaker,usability,xds,interval_start,interval_end,pitch_min,pitch_max,pitch_mean,pitch_sd,F0_00,F0_05,F0_10,F0_15,F0_20,F0_25,F0_30,F0_35,F0_40,F0_45,F0_50,F0_55,F0_60,F0_65,F0_70,F0_75,F0_80,F0_85,F0_90,F0_95,F0_100
85_20210120,FA1,0.,C,55.581,58.3,192.05837273939045 Hz,575.4108613040379 Hz,327.8594855021346 Hz,85.46347859890219 Hz,--undefined--,--undefined--,--undefined--,328.82198134656244,356.9817708790037,297.58653693162677,--undefined--,--undefined--,266.12050453651847,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,197.40550261287484,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,59.123,60.411,259.6615274359177 Hz,519.6465543930858 Hz,364.68737211595135 Hz,101.0787608950028 Hz,--undefined--,264.0106621116916,277.0508733141003,286.2919098547466,284.8843565538404,282.7961530535646,--undefined--,282.73122526987095,282.5243973683242,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,439.5647529249577,476.1215661846445,513.2884558756084,499.7959772774214,--undefined--,453.0259412517248,--undefined--,
85_20210120,FA1,0.,C,62.081,62.928,103.12627397869922 Hz,333.43427469573487 Hz,241.9572158721383 Hz,81.45340551811621 Hz,--undefined--,239.00532010416572,257.5926807479775,258.19750724348484,--undefined--,105.76836071763897,104.02895897060905,--undefined--,333.11646392354305,329.0664897642098,303.6782421462169,270.4238226022784,263.42042050837836,261.69655150341913,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,68.275,70.194,193.2470880954946 Hz,556.1534063501194 Hz,410.57908551871424 Hz,98.31701347970777 Hz,--undefined--,--undefined--,--undefined--,--undefined--,456.22990731558576,447.25447721658605,360.8341874249279,431.42948049336917,--undefined--,387.0528387383285,536.6586975337215,530.4600491194523,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,75.357,77.352,108.39482622568184 Hz,481.7414449563533 Hz,258.5749500939422 Hz,104.5419745041748 Hz,--undefined--,--undefined--,478.14904236254307,398.54091765414086,243.2818917475664,221.37140774919442,224.67400978746423,--undefined--,333.59249614409583,317.5227185747242,--undefined--,--undefined--,--undefined--,111.32235091065559,207.80100202358415,200.03447282973718,186.4596838489229,175.0154081403133,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,,80.418,81.117,100.63812010855915 Hz,479.5878279488911 Hz,340.233645658704 Hz,139.5218717872766 Hz,--undefined--,218.08195680960455,--undefined--,--undefined--,--undefined--,410.1077659830424,407.188811744989,415.4157612439334,425.7981865543358,416.77165460073894,--undefined--,--undefined--,--undefined--,426.58714145122565,473.71746636055445,472.29651191138163,429.5089605230557,113.37855017743107,105.27059906458018,101.98105481378758,--undefined--,
85_20210120,FA1,0.,,81.808,82.717,175.02203441648655 Hz,556.0842175984344 Hz,397.04859211133606 Hz,113.45456457272269 Hz,--undefined--,181.566521226503,201.89071643940315,201.65611014934265,417.00171319689974,358.20819831843926,340.3389169015313,472.8734508962867,550.8443429545596,533.9905574637011,498.53326856982693,466.69391284568525,464.2867962559063,467.31675844706217,461.1383927131416,413.8378491784335,371.7724140741479,338.8601190907517,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,84.673,86.581,152.14254850969476 Hz,373.8781586138188 Hz,190.7805092442973 Hz,49.17952949462877 Hz,--undefined--,196.1951338897549,193.87675900456696,172.5137257409749,--undefined--,--undefined--,--undefined--,332.9253596878979,--undefined--,--undefined--,--undefined--,192.62874493629948,--undefined--,176.84816672513506,166.99696970776256,159.486616139444,152.60928154801093,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,88.438,90.897,149.37554877753675 Hz,431.5021586958432 Hz,252.29837760976085 Hz,77.51661909806081 Hz,--undefined--,--undefined--,202.72774698303178,207.07760525003894,201.48497291242944,--undefined--,--undefined--,205.03147203375235,--undefined--,--undefined--,--undefined--,299.09518315094743,--undefined--,276.4775984061922,--undefined--,--undefined--,390.640929835583,215.66216565940277,167.2605829996771,--undefined--,--undefined--,
85_20210120,FA1,0.,,92.867,94.846,122.57486198058565 Hz,301.02606784779954 Hz,289.22943682408714 Hz,24.72641282099751 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,284.7977199400193,295.88073874898237,300.3521314565241,--undefined--,--undefined--,--undefined--,290.8670786556488,295.65660994883524,297.3454155721487,295.5541419854985,291.9144958313262,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
