file_name,speaker,usability,xds,interval_start,interval_end,pitch_min,pitch_max,pitch_mean,pitch_sd,F0_00,F0_05,F0_10,F0_15,F0_20,F0_25,F0_30,F0_35,F0_40,F0_45,F0_50,F0_55,F0_60,F0_65,F0_70,F0_75,F0_80,F0_85,F0_90,F0_95,F0_100
172_20210310,FA1,0.,0.,1.59,1.71,119.22859979167788 Hz,183.73382877008254 Hz,134.38223257368838 Hz,27.539129220203908 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,119.22859979167788,119.25826798984498,119.55442063762828,119.84417737886163,120.46823363343441,122.38086059729129,122.06148724108387,121.40684606107257,121.02364750043293,--undefined--,--undefined--,183.73382877008254,182.74683528805255,182.0888396333659,--undefined--,--undefined--,
172_20210310,FA1,0.,0.,2.04,3.7,153.77486245514183 Hz,437.1980818030748 Hz,314.59621744258646 Hz,89.21125631301588 Hz,--undefined--,159.74924317524867,155.39404083134755,171.06953457516852,220.64409439283304,--undefined--,--undefined--,--undefined--,433.49144845311304,430.7516331548926,405.0735840419803,368.91644651031805,351.061778239955,344.20119805138347,336.7394269654109,334.93327085789304,329.5501231313204,336.14270869301316,327.28523049077677,--undefined--,--undefined--,
172_20210310,FA1,0.,0.,4.85,6.81,154.48395425760594 Hz,595.8997433451995 Hz,301.20494023255446 Hz,129.23334035288144 Hz,--undefined--,228.49333183270198,270.39504632283735,406.96088419652244,227.68898550251188,249.4843738392086,--undefined--,409.8207832942941,--undefined--,359.6785982422135,--undefined--,--undefined--,--undefined--,221.14504001787304,183.77000989834073,167.40376289843195,171.0191589749513,205.3710921012518,367.7972697535942,554.3911540299003,--undefined--,
172_20210310,FA1,0.,0.,7.79,8.67,160.92437536441423 Hz,568.7274938603471 Hz,273.27935384738527 Hz,107.12177270352203 Hz,--undefined--,322.5889987618637,330.8546762071166,299.9173989610282,--undefined--,--undefined--,379.07181724202627,407.0790184711551,--undefined--,--undefined--,--undefined--,568.1624071863353,--undefined--,--undefined--,--undefined--,196.92788813320195,183.84357518334022,175.89320576015896,172.56286931259507,166.35437701096438,--undefined--,
172_20210310,FA1,noisy,C,9.65,10.03,--undefined-- Hz,--undefined-- Hz,--undefined-- Hz,--undefined-- Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
172_20210310,FA1,0.,0.,10.12,10.52,147.44453014255384 Hz,305.46996595366204 Hz,224.94402218132214 Hz,48.63352030697775 Hz,--undefined--,188.3507713728355,210.1924829470027,223.8164371761016,237.06935458196057,263.4020052926439,282.80761402837277,302.46352904466914,296.5292809654907,--undefined--,237.49851016685736,212.2392948654454,197.33582898918291,176.98989415822535,158.4000214203751,148.76186421376883,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
172_20210310,FA1,0.,0.,11.58,12.13,152.56998586799756 Hz,289.21824644034797 Hz,233.1713865535388 Hz,50.01253330529699 Hz,--undefined--,--undefined--,157.7342174383237,152.78572303791398,154.545749054155,160.68762434253998,--undefined--,198.28212044011832,212.31339893034004,228.5595068908192,228.73631289432748,248.7265556897394,288.35277997092106,288.8092326508241,287.2196871167725,283.8656654352126,276.43056046835835,274.72874243298844,267.22315604916236,249.7395516216599,--undefined--,
172_20210310,FA1,noisy,C,12.405,14.08,99.89252925610143 Hz,520.5051252052549 Hz,264.4788223839709 Hz,130.87351567057408 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,240.18870423715111,219.15112764058048,--undefined--,--undefined--,212.9373234051867,210.79725763973332,--undefined--,169.25190721403243,163.338890043044,--undefined--,434.7655857269268,--undefined--,--undefined--,487.2564916608553,--undefined--,--undefined--,
172_20210310,FA1,0.,0.,14.18,14.37,253.3267675544253 Hz,570.2081479136309 Hz,352.1950727968144 Hz,103.9656575567332 Hz,--undefined--,--undefined--,255.29750753959837,260.62921234816685,264.6165098014423,274.7201273339638,284.4902576410029,294.06295135867094,301.86576061929964,310.2741645951164,315.6324587527621,319.25265265406824,322.1776456762945,446.3717766945366,462.7083099413826,477.61718315418665,569.6033129874979,570.2081479136309,--undefined--,--undefined--,--undefined--,
172_20210310,FA1,0.,0.,14.405,15.535,118.29242768483135 Hz,495.57987050653406 Hz,215.67735984864305 Hz,90.1938852244984 Hz,--undefined--,120.30046646181187,231.57984653950132,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,239.16507286296894,236.40523458796778,--undefined--,--undefined--,207.0257604007622,--undefined--,--undefined--,203.23567008687317,--undefined--,166.0722882855967,152.48431653711063,448.7996267558989,--undefined--,
172_20210310,FA1,0.,0.,16.18,17.06,97.53150551860182 Hz,483.62169107261 Hz,218.71367425842578 Hz,113.84600353219943 Hz,--undefined--,319.708153538678,--undefined--,432.9711858145282,115.47665994182155,134.153491618713,131.60418531383218,--undefined--,--undefined--,--undefined--,--undefined--,238.11418210402567,--undefined--,--undefined--,--undefined--,--undefined--,151.50518521089163,--undefined--,--undefined--,--undefined--,--undefined--,
